age	death_probability
0	0.006304
1	0.000426
2	0.00029
3	0.000229
4	0.000162
5	0.000146
6	0.000136
7	0.000127
8	0.000115
9	0.000103
10	0.000097
11	0.000109
12	0.000151
13	0.000232
14	0.000343
15	0.000465
16	0.000588
17	0.00072
18	0.000858
19	0.000999
20	0.001146
21	0.001288
22	0.001407
23	0.001494
24	0.001556
25	0.00161
26	0.001665
27	0.001717
28	0.001767
29	0.001817
30	0.001865
31	0.001911
32	0.00196
33	0.002014
34	0.002071
35	0.002138
36	0.002211
37	0.002279
38	0.002342
39	0.002405
40	0.002482
41	0.002583
42	0.00271
43	0.00287
44	0.003064
45	0.003285
46	0.003538
47	0.003834
48	0.004178
49	0.004569
50	0.004997
51	0.005462
52	0.005971
53	0.006526
54	0.007125
55	0.007766
56	0.008445
57	0.009156
58	0.009897
59	0.010671
60	0.011519
61	0.012419
62	0.013307
63	0.014164
64	0.015032
65	0.016013
66	0.017138
67	0.018362
68	0.019693
69	0.021174
70	0.022889
71	0.024869
72	0.027095
73	0.029587
74	0.032394
75	0.035668
76	0.039396
77	0.043453
78	0.047826
79	0.052649
80	0.058206
81	0.064581
82	0.071657
83	0.079465
84	0.088141
85	0.097854
86	0.108747
87	0.120919
88	0.134425
89	0.149273
90	0.165452
91	0.182935
92	0.201679
93	0.221637
94	0.242747
95	0.263672
96	0.284014
97	0.303355
98	0.321268
99	0.337332
100	0.354198
101	0.371908
102	0.390503
103	0.410029
104	0.43053
105	0.452057
106	0.474659
107	0.498392
108	0.523312
109	0.549478
110	0.576951
111	0.605799
112	0.636089
113	0.667893
114	0.701288
115	0.736353
116	0.77317
117	0.811829
118	0.85242
119	0.895041
